Date,Bank RTN,Account Number,Transaction Type,Description,Debit,Credit,Check Number,Account Running Balance
2023-08-07,123456789,987654321,DEBIT,Grocery Store,50.00,0,1001,1250.00
2023-08-08,123456789,987654321,CREDIT,Salary,0,2000.00,,3250.00
2023-08-09,123456789,987654321,DEBIT,Rent Payment,1000.00,0,1002,2250.00
2023-08-10,123456789,987654321,DEBIT,Utilities,150.00,0,1003,2100.00
2023-08-11,123456789,987654321,DEBIT,Dining Out,75.50,0,1004,2024.50
2023-08-12,123456789,987654321,CREDIT,Freelance Work,0,500.00,,2524.50
2023-08-13,123456789,987654321,DEBIT,Online Shopping,120.00,0,1005,2404.50
2023-08-14,123456789,987654321,CREDIT,Insurance Premium,0,672.86,,3077.36
2023-08-15,123456789,987654321,DEBIT,Utility Bill,213.24,0,,2864.12
2023-08-15,123456789,987654321,DEBIT,Tax Refund,293.53,0,,2570.59
2023-08-15,123456789,987654321,CREDIT,Rent Payment,0,1867.61,,4438.2
2023-08-16,123456789,987654321,CREDIT,Utility Bill,0,904.15,,5342.35
2023-08-16,123456789,987654321,DEBIT,Education Expense,150.64,0,,5191.71
2023-08-16,123456789,987654321,DEBIT,Utility Bill,450.41,0,,4741.3
2023-08-17,123456789,987654321,CREDIT,Gas Station,0,269.77,,5011.07
2023-08-17,123456789,987654321,CREDIT,Credit Card Payment,0,953.45,,5964.52
2023-08-17,123456789,987654321,DEBIT,Investment Income,17.09,0,,5947.43
2023-08-18,123456789,987654321,DEBIT,ATM Withdrawal,102.64,0,,5844.79
2023-08-18,123456789,987654321,DEBIT,Salary Deposit,488.07,0,,5356.72
2023-08-18,123456789,987654321,CREDIT,Utility Bill,0,1564.27,,6920.99
2023-08-19,123456789,987654321,DEBIT,Online Purchase,492.74,0,3296,6428.25
2023-08-19,123456789,987654321,CREDIT,Utility Bill,0,1312.94,,7741.19
2023-08-19,123456789,987654321,CREDIT,Utility Bill,0,722.93,,8464.12
2023-08-20,123456789,987654321,CREDIT,Interest Earned,0,355.41,,8819.53
2023-08-20,123456789,987654321,DEBIT,Entertainment,213.3,0,,8606.23
2023-08-20,123456789,987654321,CREDIT,Interest Earned,0,1042.15,,9648.38
2023-08-21,123456789,987654321,CREDIT,Medical Expense,0,1620.31,,11268.69
2023-08-21,123456789,987654321,CREDIT,Restaurant,0,1640.91,,12909.6
2023-08-21,123456789,987654321,CREDIT,Tax Refund,0,1057.46,,13967.06
2023-08-22,123456789,987654321,DEBIT,Credit Card Payment,447.92,0,,13519.14
